Date,Open,High,Low,Close,Volume
06/2024,"192.90","196.94","192.52","196.89","245,994,445"
05/2024,"169.58","193.00","169.11","192.25","1,336,570,164"
04/2024,"171.19","178.36","164.08","170.33","1,246,221,574"
03/2024,"179.55","180.53","168.49","171.48","1,433,151,779"
02/2024,"183.99","191.05","179.25","180.75","1,161,711,767"
01/2024,"187.15","196.38","180.17","184.40","1,187,490,645"
12/2023,"190.33","199.62","187.45","192.53","1,063,181,124"
11/2023,"171.00","192.93","170.12","189.95","1,099,760,714"
10/2023,"171.22","182.34","165.67","170.77","1,172,845,822"
09/2023,"189.49","189.98","167.62","171.21","1,337,873,859"
08/2023,"196.24","196.73","171.96","187.87","1,323,817,325"
07/2023,"193.78","198.23","186.60","196.45","996,257,010"
06/2023,"178.44","194.48","177.32","193.97","980,169,805"
