Date,Open,High,Low,Close,Volume
06/07/2024,"192.90","196.94","192.52","196.89","245,994,445"
05/31/2024,"191.51","193.00","189.10","192.25","230,454,289"
05/24/2024,"189.33","192.82","186.63","189.98","208,652,132"
05/17/2024,"185.44","191.10","184.62","189.87","288,966,578"
05/10/2024,"182.35","185.09","180.42","183.05","300,674,997"
05/03/2024,"173.37","187.00","169.11","183.38","441,926,371"
04/26/2024,"165.52","171.34","164.77","169.30","241,302,723"
04/19/2024,"175.36","176.63","164.08","165.00","309,416,488"
04/12/2024,"169.03","178.36","167.11","176.55","322,327,238"
04/05/2024,"171.19","171.92","168.23","169.58","239,070,922"
03/28/2024,"170.57","173.60","169.45","171.48","237,622,738"
03/22/2024,"175.57","178.67","170.06","172.28","361,583,958"
03/15/2024,"172.94","174.38","170.29","172.62","367,119,747"
03/08/2024,"176.15","176.90","168.49","170.73","393,262,258"
03/01/2024,"182.24","183.92","177.38","179.66","354,385,883"
02/23/2024,"181.79","185.04","180.00","182.52","192,607,110"
02/16/2024,"188.42","188.67","181.35","182.31","268,128,950"
02/09/2024,"188.15","191.05","185.84","188.85","252,715,801"
02/02/2024,"192.01","192.20","179.25","185.85","325,909,890"
01/26/2024,"192.30","196.38","191.94","192.42","255,536,899"
01/19/2024,"182.16","191.95","180.30","191.56","259,829,215"
01/12/2024,"182.09","187.05","181.50","185.92","238,385,379"
01/05/2024,"187.15","188.44","180.17","181.18","275,266,363"
12/29/2023,"193.61","194.66","191.09","192.53","153,729,041"
12/22/2023,"196.09","197.68","192.97","193.60","232,340,843"
12/15/2023,"193.11","199.62","191.42","197.57","379,414,745"
12/08/2023,"189.98","195.99","187.45","195.71","251,991,675"
12/01/2023,"189.92","192.09","188.19","191.24","216,481,437"
11/24/2023,"189.89","192.93","189.25","189.97","148,351,445"
11/17/2023,"185.82","190.96","184.21","189.69","262,880,719"
11/10/2023,"176.38","186.57","176.21","186.40","303,653,023"
11/03/2023,"169.02","177.78","167.90","176.65","310,075,891"
10/27/2023,"170.91","174.01","165.67","168.22","286,078,110"
10/20/2023,"176.75","179.08","172.64","172.88","288,377,601"
10/13/2023,"176.81","182.34","175.80","178.85","241,839,091"
10/06/2023,"171.22","177.99","170.82","177.49","260,574,039"
09/29/2023,"174.20","176.97","167.62","171.21","285,838,996"
09/22/2023,"176.48","179.70","173.86","174.79","297,395,203"
09/15/2023,"180.07","180.30","173.58","175.01","403,746,442"
09/08/2023,"188.28","189.98","173.54","178.18","305,126,718"
09/01/2023,"180.09","189.92","178.55","189.46","264,199,512"
08/25/2023,"175.07","181.55","173.74","178.61","247,514,274"
08/18/2023,"177.97","179.69","171.96","174.49","261,498,121"
08/11/2023,"182.13","183.13","176.55","177.79","332,501,078"
08/04/2023,"196.06","196.73","181.92","181.99","302,694,953"
07/28/2023,"193.41","197.20","192.25","195.83","226,011,793"
07/21/2023,"191.90","198.23","191.23","191.94","310,914,129"
07/14/2023,"189.26","191.70","186.60","190.69","250,269,105"
07/07/2023,"193.78","193.88","189.20","190.68","170,237,870"
06/30/2023,"186.83","194.48","185.23","193.97","281,596,840"
06/23/2023,"184.41","187.56","182.59","186.68","203,677,117"
06/16/2023,"181.27","186.99","180.97","184.92","333,836,379"
06/09/2023,"178.44","182.23","177.32","180.96","161,059,469"
